(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
(0, 1, 2, 3);(4, 5, 6, 7);(0, 1, 5, 4);(2, 3, 7, 6);(0, 3, 7, 4);(1, 2, 6, 5);
